method,seed,wall_sec,test_acc_mean,misclustering,nmi,ari,k_found
local,0,1.7165329456329346,0.1937499999254942,0.98,0.2616480412956257,0.0,100
local,1,1.7673406600952148,0.1451500005275011,0.98,0.2616480412956257,0.0,100
local,2,1.6999707221984863,0.23724999986588954,0.98,0.2616480412956257,0.0,100
local,3,1.6100332736968994,0.19669999942183494,0.98,0.2616480412956257,0.0,100
local,4,1.650747299194336,0.17160000041127205,0.98,0.2616480412956257,0.0,100
global,0,16.909204959869385,0.4749499988555908,0.5,0.0,0.0,1
global,1,17.06680464744568,0.43449999928474425,0.5,0.0,0.0,1
global,2,17.00536584854126,0.506099997162819,0.5,0.0,0.0,1
global,3,17.930638551712036,0.43674999982118606,0.5,0.0,0.0,1
global,4,18.042853593826294,0.4764499971270561,0.5,0.0,0.0,1
ifca,0,25.283048152923584,0.5190500000119209,0.5,0.0,0.0,1
ifca,1,30.746334552764893,0.6117500013113022,0.0,1.0,1.0,2
ifca,2,26.36155414581299,0.5840999981760979,0.0,1.0,1.0,2
ifca,3,29.1227970123291,0.5053499978780747,0.5,0.0,0.0,1
ifca,4,28.61169934272766,0.6084000018239021,0.0,1.0,1.0,2
local_kmeans,0,3.4902889728546143,0.19405000001192094,0.0,1.0,1.0,2
local_kmeans,1,3.7859513759613037,0.1477499996870756,0.0,1.0,1.0,2
local_kmeans,2,3.7440226078033447,0.245749998241663,0.0,1.0,1.0,2
local_kmeans,3,3.7648375034332275,0.2109999993443489,0.0,1.0,1.0,2
local_kmeans,4,3.679307222366333,0.1784000002592802,0.0,1.0,1.0,2
srfca,0,28.111116886138916,0.5908000025153161,0.0,1.0,1.0,2
srfca,1,28.46400475502014,0.6223000001907348,0.0,1.0,1.0,2
srfca,2,31.204607248306274,0.6044500005245209,0.0,1.0,1.0,2
srfca,3,29.719969749450684,0.5904499989748001,0.0,1.0,1.0,2
srfca,4,28.120852947235107,0.6063499987125397,0.0,1.0,1.0,2
