method,dataset,seed,wall_sec,test_acc_mean,test_acc_std,misclustering,nmi,ari,k_found
local,rotated,0,1.3944904804229736,0.14094999983906745,0.04840296971107615,0.98,0.2616480412956257,0.0,100
local,rotated,1,1.4086799621582031,0.16125000029802322,0.03294977253582501,0.98,0.2616480412956257,0.0,100
local,rotated,2,1.776850938796997,0.17785000070929527,0.04342956861784747,0.98,0.2616480412956257,0.0,100
local,rotated,3,1.9660978317260742,0.1228999999538064,0.0294039113373861,0.98,0.2616480412956257,0.0,100
local,rotated,4,1.902165412902832,0.1454500002413988,0.03581267240918453,0.98,0.2616480412956257,0.0,100
global,rotated,0,21.877285718917847,0.42495000004768374,0.04449997084664953,0.5,0.0,0.0,1
global,rotated,1,22.345138549804688,0.40339999824762346,0.039248438370491176,0.5,0.0,0.0,1
global,rotated,2,21.07707691192627,0.3970499989390373,0.0466320436981101,0.5,0.0,0.0,1
global,rotated,3,16.649388074874878,0.37044999927282335,0.04250937970575199,0.5,0.0,0.0,1
global,rotated,4,17.213799953460693,0.4074500000476837,0.03627323306931369,0.5,0.0,0.0,1
ifca,rotated,0,33.118162631988525,0.6290499997138977,0.04424191833328388,0.0,1.0,1.0,2
ifca,rotated,1,26.50793218612671,0.6023500019311905,0.03760621671356913,0.0,1.0,1.0,2
ifca,rotated,2,27.15836262702942,0.6728499990701675,0.03375096327852116,0.0,1.0,1.0,2
ifca,rotated,3,29.100529432296753,0.5524000003933907,0.042675989168591597,0.0,1.0,1.0,2
ifca,rotated,4,17.282489776611328,0.6404500007629395,0.04080499202187725,0.0,1.0,1.0,2
local_kmeans,rotated,0,2.5976507663726807,0.14010000001639128,0.04748673480440154,0.0,1.0,1.0,2
local_kmeans,rotated,1,2.4906492233276367,0.16245000094175338,0.03189431836212204,0.0,1.0,1.0,2
local_kmeans,rotated,2,2.5446724891662598,0.1767500001937151,0.04353375156997928,0.0,1.0,1.0,2
local_kmeans,rotated,3,2.4103198051452637,0.12050000056624413,0.027152347795192454,0.0,1.0,1.0,2
local_kmeans,rotated,4,2.422664165496826,0.14469999961555005,0.036897290131949353,0.0,1.0,1.0,2
srfca,rotated,0,17.836874961853027,0.6603999984264374,0.03450130257580468,0.0,1.0,1.0,2
srfca,rotated,1,17.713432550430298,0.6512999999523162,0.03049278510761293,0.0,1.0,1.0,2
srfca,rotated,2,18.00271439552307,0.6233000004291535,0.03826368886539771,0.0,1.0,1.0,2
srfca,rotated,3,17.81546640396118,0.6406999993324279,0.034597833817818904,0.0,1.0,1.0,2
srfca,rotated,4,17.83852744102478,0.6359499996900558,0.03215349911900647,0.0,1.0,1.0,2
local,inverted,0,1.383967638015747,0.1557999999076128,0.0410592253558953,0.98,0.2616480412956257,0.0,100
local,inverted,1,1.375159502029419,0.15665000025182962,0.039893952861988886,0.98,0.2616480412956257,0.0,100
local,inverted,2,1.3779771327972412,0.18000000052154064,0.048846698546602084,0.98,0.2616480412956257,0.0,100
local,inverted,3,1.3706376552581787,0.15110000029206275,0.03585791437200341,0.98,0.2616480412956257,0.0,100
local,inverted,4,1.376889944076538,0.12585000023245813,0.027884180558937783,0.98,0.2616480412956257,0.0,100
global,inverted,0,13.91282868385315,0.2758000001311302,0.033337068243310605,0.5,0.0,0.0,1
global,inverted,1,14.039460182189941,0.3037499998509884,0.0352091964312821,0.5,0.0,0.0,1
global,inverted,2,14.106389999389648,0.27929999843239783,0.030789772294930583,0.5,0.0,0.0,1
global,inverted,3,13.880080223083496,0.2530499988794327,0.052815220544277064,0.5,0.0,0.0,1
global,inverted,4,14.257961750030518,0.2311499997973442,0.04914191140682605,0.5,0.0,0.0,1
ifca,inverted,0,17.03536629676819,0.5882500034570693,0.04222188180606558,0.0,1.0,1.0,2
ifca,inverted,1,17.05298399925232,0.5912999987602234,0.04199178592581728,0.0,1.0,1.0,2
ifca,inverted,2,16.951122045516968,0.6213499999046326,0.07347739243316627,0.0,1.0,1.0,2
ifca,inverted,3,17.11602282524109,0.5779499959945679,0.03472819446401691,0.0,1.0,1.0,2
ifca,inverted,4,21.78605818748474,0.6085500001907349,0.0327436609035839,0.0,1.0,1.0,2
local_kmeans,inverted,0,3.6825404167175293,0.15599999986588955,0.03661966699002913,0.0,1.0,1.0,2
local_kmeans,inverted,1,3.3136556148529053,0.17095000125467777,0.02917785979021533,0.0,1.0,1.0,2
local_kmeans,inverted,2,2.9854259490966797,0.20639999940991402,0.026599623289703764,0.0,1.0,1.0,2
local_kmeans,inverted,3,3.618008613586426,0.16115000009536742,0.03512018565121812,0.0,1.0,1.0,2
local_kmeans,inverted,4,4.154029607772827,0.11734999969601631,0.021707775320975457,0.0,1.0,1.0,2
srfca,inverted,0,25.476019859313965,0.629099999666214,0.039839553672590095,0.0,1.0,1.0,2
srfca,inverted,1,31.962504148483276,0.610450000166893,0.047021775065755,0.0,1.0,1.0,2
srfca,inverted,2,29.804105520248413,0.598500000834465,0.04660740243495756,0.0,1.0,1.0,2
srfca,inverted,3,38.10637068748474,0.6050999996066093,0.0609958198754562,0.0,1.0,1.0,2
srfca,inverted,4,40.729838132858276,0.6336000001430512,0.0350647967765773,0.0,1.0,1.0,2
