method,seed,wall_sec,test_acc_mean,misclustering,nmi,ari,k_found
local,0,2.006917953491211,0.19609999939799308,0.98,0.2616480412956257,0.0,100
local,1,2.360173225402832,0.1817000000923872,0.98,0.2616480412956257,0.0,100
local,2,3.2381668090820312,0.230699999704957,0.98,0.2616480412956257,0.0,100
local,3,1.8195362091064453,0.20894999995827676,0.98,0.2616480412956257,0.0,100
local,4,1.8247392177581787,0.16964999988675117,0.98,0.2616480412956257,0.0,100
global,0,20.513680458068848,0.3926499998569489,0.5,0.0,0.0,1
global,1,18.071687698364258,0.36094999969005587,0.5,0.0,0.0,1
global,2,18.25390124320984,0.37325000017881393,0.5,0.0,0.0,1
global,3,16.938409090042114,0.41615000009536746,0.5,0.0,0.0,1
global,4,17.42974305152893,0.39649999856948853,0.5,0.0,0.0,1
srfca,0,23.065080404281616,0.609400001168251,0.0,1.0,1.0,2
srfca,1,26.606812953948975,0.6151499998569488,0.0,1.0,1.0,2
srfca,2,26.627176761627197,0.6016999983787537,0.0,1.0,1.0,2
srfca,3,25.535520315170288,0.5764499992132187,0.0,1.0,1.0,2
srfca,4,21.597780227661133,0.6032500004768372,0.0,1.0,1.0,2
